"image"	"first_level_timel"	"orphan_label"	"confidence"	"reconciled_label"	"reconciled_timel_id"
"gahom/013555.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/013557.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/013602.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/013604.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/006701.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/006703.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/005618.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/008004.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/008038.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/008044.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/000392.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/000394.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/000395.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/000396.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/000425.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/000427.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/000428.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
"gahom/000429.jpg"	"timel_character"	"apôtres-12?"	"HIGH"	"apôtres-12"	"tm-qkcf9yjx"
